Player,Handeness,Age,Team,Lg,G,GS,IP,K%,BB%,HR%,TTO%,ERA+,FIP,WPA,WAR
Dylan Cease,RHP,29,SDP,NL,32,32,168,29.8,9.8,2.9,17.1,94,3.56,-0.9,1.1
Ryan Pepiot,RHP,27,TBR,AL,31,31,167.2,24.6,9,3.8,11.8,106,4.36,0.6,3.8
Gavin Williams,RHP,25,CLE,AL,31,31,167.2,24.6,11.8,3.3,9.5,137,4.39,1.8,1.9
Brayan Bello,RHP,26,BOS,AL,29,28,166.2,17.7,8.4,2.3,7,123,4.19,1,2.5
Andrew Abbott,LHP,26,CIN,NL,29,29,166.1,21.8,6.3,2.8,12.7,159,3.66,2.9,5.6
Shane Baz,RHP,26,TBR,AL,31,31,166.1,24.8,9,3.7,12.1,84,4.37,-0.7,0.4
José Berríos,RHP,31,TOR,AL,31,30,166,19.8,8,3.7,8.1,102,4.65,0.2,1.3
Clay Holmes,RHP,32,NYM,NL,40,26,165.2,18.2,9.3,2,6.9,114,4.11,0.7,2.3
Nick Martinez,RHP,34,CIN,NL,33,31,165.2,17,6.1,3.2,7.7,103,4.33,0.4,1.9
Kyle Hendricks,RHP,35,LAA,AL,31,31,164.2,16.4,6.2,3.6,6.6,90,4.6,-0.7,1.7
Mitchell Parker,LHP,25,WSN,NL,33,30,164.2,14.2,8,3.4,2.8,72,4.99,-2.1,-1.2
Kyle Freeland,LHP,32,COL,NL,31,31,162.2,17.5,5.4,3.1,9,98,4.18,-1.4,1.4
Andre Pallante,RHP,26,STL,NL,29,29,162.2,15.5,8.7,2.9,3.9,77,4.68,-2.8,1
Luis Severino,RHP,31,ATH,AL,31,31,162.2,17.6,7.1,2.3,8.2,92,4.11,-0.9,-1.2
Will Warren,RHP,26,NYY,AL,33,33,162.1,24.1,9.1,3.1,11.9,92,4.07,-0.2,0.6
